ts_code,trade_date,volatility_ratio,deviation_5d,prev_return,momentum_7d,volume_momentum_7d,momentum_21d,volatility_21d,bias_10d,loss_ratio
512290.SH,2022-11-01,67.16508059701499,0.022819226412040785,0.03691550451189496,0.026807473598700282,1.3702248227965033,0.22480620155038755,0.030946627081525138,0.03394683026584875,0.15955056179775282
512290.SH,2022-11-02,37.974400000000024,0.0381899871630296,0.02373417721519,0.08103592314118635,1.1923805403117478,0.1915285451197053,0.029597614357963545,0.051946996179172485,0.2606741573033708
512290.SH,2022-11-03,-77.77898518518543,0.015151515151515076,-0.016228748068006227,0.08525149190110826,0.6423936976292695,0.18418604651162784,0.02982157708339477,0.031019680894144145,0.5752808988764045
512290.SH,2022-11-04,57.44751063829795,0.02362204724409451,0.02120974076983506,0.04754230459307007,0.052247484681170686,0.17753623188405787,0.029669011834608048,0.04703608247422681,0.23370786516853934
512290.SH,2022-11-07,-3.844999999999996,0.010108864696733982,-0.0007692307692308553,0.051821862348178094,-0.09508512527803381,0.1745027124773959,0.02970220130852846,0.0377057037865473,0.5201793721973094
512290.SH,2022-11-08,-75.00101249999993,-0.010246856078248797,-0.018475750577367278,0.04508196721311464,-0.1179565324729499,0.1751152073732718,0.029679078872940183,0.010301109350237639,0.49440715883668906
512290.SH,2022-11-09,-30.000749999999975,-0.01106608478802992,-0.004705882352941226,0.04101722723543877,-0.15073568743990906,0.18487394957983194,0.02944171716265124,0.003320683111954445,0.23937360178970918
512290.SH,2022-11-10,-29.165849999999974,-0.014832162373145908,-0.005516154452324562,-0.0015822784810126667,-0.5132978834887156,0.1685185185185185,0.029600488420278792,-0.00433925049309652,0.5794183445190156
512290.SH,2022-11-11,-22.72747272727271,-0.018419395465994855,-0.011885895404120328,-0.03632148377125188,-0.008828605570801673,0.11938958707360858,0.029381114415781746,-0.018264840182648314,0.6912751677852349
512290.SH,2022-11-14,76.78625178571453,0.01686898943717491,0.0344827586206895,0.01335428122545168,0.026247347327273296,0.0556464811783961,0.021899377951319708,0.00994284819541232,0.10738255033557047
512290.SH,2022-11-15,29.998949999999976,0.021978021978021997,0.009302325581395321,0.0015384615384614886,-0.2741047584935272,0.06026058631921827,0.021941401586348018,0.016314105065959053,0.4161073825503356
512290.SH,2022-11-16,-13.157052631578937,0.013597999374804692,-0.0038402457757297226,-0.0015396458814472824,0.04589902563736459,0.042604501607717005,0.021865156648734105,0.012174184485718616,0.6741071428571429
